,Unnamed: 0,id,name,location,sampling_rate,lfp_sampling_rate,has_lfp_data,session,inserted
133,133,23,probeB,See electrode locations,29999.94629837908,,False,1183071525,True
134,134,21,probeC,See electrode locations,30000.216609651696,,False,1183071525,True
135,135,20,probeD,See electrode locations,30000.104321463856,,False,1183071525,True
136,136,18,probeE,See electrode locations,30000.068749877344,,False,1183071525,True
137,137,19,probeF,See electrode locations,30000.119730353872,,False,1183071525,True
138,138,65,probeA,See electrode locations,30000.12897741862,,False,1175253205,True
139,139,66,probeB,See electrode locations,29999.94581904595,,False,1175253205,True
140,140,67,probeC,See electrode locations,30000.221779835403,,False,1175253205,True
141,141,68,probeD,See electrode locations,30000.10793785488,,False,1175253205,True
142,142,69,probeE,See electrode locations,30000.072382623148,,False,1175253205,True
143,143,70,probeF,See electrode locations,30000.12131184114,,False,1175253205,True
144,144,109,probeA,See electrode locations,30000.13235990184,,False,1190290940,True
145,145,106,probeB,See electrode locations,29999.954647896146,,False,1190290940,True
149,149,349,probeA,See electrode locations,30000.11154884147,,False,1211232400,True
150,150,350,probeB,See electrode locations,29999.93562203547,,False,1211232400,True
151,151,351,probeC,See electrode locations,30000.201681205075,,False,1211232400,True
152,152,352,probeD,See electrode locations,30000.09291184649,,False,1211232400,True
153,153,353,probeE,See electrode locations,30000.062867725286,,False,1211232400,True
154,154,354,probeF,See electrode locations,30000.110906186463,,False,1211232400,True
155,155,390,probeA,See electrode locations,30000.10212549716,,False,1219127153,True
156,156,392,probeB,See electrode locations,29999.928856395243,,False,1219127153,True
158,158,388,probeD,See electrode locations,30000.083929782577,,False,1219127153,True
159,159,393,probeE,See electrode locations,30000.05409536768,,False,1219127153,True
160,160,389,probeF,See electrode locations,30000.10245334788,,False,1219127153,True
161,161,355,probeA,See electrode locations,30000.099990442905,,False,1214217748,True
162,162,356,probeB,See electrode locations,29999.925066970725,,False,1214217748,True
163,163,357,probeC,See electrode locations,30000.18849872968,,False,1214217748,True
164,164,358,probeD,See electrode locations,30000.08040499431,,False,1214217748,True
165,165,359,probeE,See electrode locations,30000.05229763297,,False,1214217748,True
166,166,360,probeF,See electrode locations,30000.09939241394,,False,1214217748,True
167,167,562,probeA,See electrode locations,30000.12515055548,,False,1243799530,True
168,168,563,probeB,See electrode locations,29999.946364047653,,False,1243799530,True
169,169,564,probeC,See electrode locations,30000.24777376242,,False,1243799530,True
